iter	Passed	Remaining
0	167	167326
1	171	85793
2	176	58597
3	180	45033
4	185	36935
5	191	31724
6	195	27778
7	244	30342
8	251	27688
9	265	26319
10	270	24334
11	275	22667
12	282	21452
13	287	20236
14	291	19155
15	297	18288
16	302	17483
17	306	16739
18	311	16102
19	315	15483
20	320	14920
21	323	14400
22	328	13943
23	332	13522
24	336	13126
25	340	12768
26	345	12433
27	349	12122
28	353	11835
29	358	11580
30	362	11324
31	366	11082
32	371	10875
33	375	10664
34	379	10456
35	383	10269
36	387	10089
37	391	9916
38	395	9751
39	400	9608
40	404	9470
41	408	9323
42	413	9192
43	417	9077
44	422	8958
45	426	8842
46	431	8741
47	438	8687
48	443	8612
49	448	8515
50	453	8437
51	457	8347
52	462	8264
53	466	8179
54	471	8102
55	475	8021
56	480	7941
57	485	7888
58	489	7812
59	493	7738
60	498	7671
61	502	7605
62	506	7536
63	510	7472
64	516	7426
65	520	7371
66	525	7311
67	529	7257
68	534	7210
69	538	7154
70	542	7102
71	548	7069
72	553	7025
73	557	6981
74	562	6936
75	567	6894
76	571	6854
77	576	6812
78	580	6768
79	584	6725
80	589	6688
81	594	6653
82	598	6612
83	602	6572
84	607	6540
85	612	6505
86	616	6469
87	620	6434
88	625	6404
89	629	6367
90	633	6331
91	638	6303
92	643	6272
93	647	6243
94	652	6214
95	657	6187
96	661	6157
97	665	6125
98	670	6103
99	675	6078
100	680	6053
101	684	6026
102	688	5996
103	692	5969
104	697	5944
105	701	5920
106	709	5917
107	713	5892
108	718	5870
109	723	5852
110	727	5830
111	732	5804
112	737	5785
113	741	5764
114	746	5743
115	750	5722
116	755	5700
117	759	5677
118	763	5656
119	768	5636
120	772	5613
121	776	5590
122	780	5567
123	786	5553
124	790	5533
125	794	5514
126	799	5495
127	803	5474
128	807	5454
129	811	5433
130	816	5418
131	821	5399
132	825	5378
133	829	5360
134	833	5342
135	837	5323
136	842	5305
137	847	5294
138	852	5278
139	856	5260
140	860	5245
141	865	5229
142	870	5214
143	874	5198
144	879	5183
145	883	5169
146	888	5154
147	892	5140
148	897	5126
149	902	5111
150	906	5097
151	911	5083
152	915	5068
153	920	5054
154	924	5039
155	928	5024
156	932	5007
157	936	4992
158	940	4976
159	945	4963
160	949	4950
161	954	4938
162	959	4924
163	963	4912
164	968	4900
165	972	4885
166	976	4870
167	981	4859
168	985	4845
169	988	4827
170	992	4813
171	997	4804
172	1001	4789
173	1006	4775
174	1010	4763
175	1014	4749
176	1018	4736
177	1023	4725
178	1027	4711
179	1031	4698
180	1035	4684
181	1039	4673
182	1043	4660
183	1047	4646
184	1052	4634
185	1057	4627
186	1061	4616
187	1065	4603
188	1070	4592
189	1074	4580
190	1078	4567
191	1082	4555
192	1086	4544
193	1091	4533
194	1095	4522
195	1100	4512
196	1104	4502
197	1108	4490
198	1112	4478
199	1117	4469
200	1121	4457
201	1125	4448
202	1131	4441
203	1136	4433
204	1140	4421
205	1144	4410
206	1148	4400
207	1153	4390
208	1157	4379
209	1160	4366
210	1165	4359
211	1170	4349
212	1174	4338
213	1178	4328
214	1182	4317
215	1186	4307
216	1190	4297
217	1195	4288
218	1199	4278
219	1204	4270
220	1209	4262
221	1213	4253
222	1217	4243
223	1221	4233
224	1226	4223
225	1230	4214
226	1234	4203
227	1238	4193
228	1244	4189
229	1248	4180
230	1252	4170
231	1256	4160
232	1261	4151
233	1264	4140
234	1269	4131
235	1273	4122
236	1277	4111
237	1281	4101
238	1285	4093
239	1289	4084
240	1293	4074
241	1297	4064
242	1301	4055
243	1306	4046
244	1309	4035
245	1313	4026
246	1317	4017
247	1321	4008
248	1325	3997
249	1328	3986
250	1332	3977
251	1336	3967
252	1340	3957
253	1344	3947
254	1347	3937
255	1351	3928
256	1355	3919
257	1359	3909
258	1363	3900
259	1367	3891
260	1370	3881
261	1374	3873
262	1379	3864
263	1382	3855
264	1386	3846
265	1390	3836
266	1393	3826
267	1397	3817
268	1401	3808
269	1404	3798
270	1408	3789
271	1412	3780
272	1416	3771
273	1419	3761
